time,Temp,DAC,current
1743190526.322,23.7762,0,22.48
1743190526.450,23.7796,0,22.48
1743190526.578,23.7778,0,14.66
1743190526.707,23.7697,0,-0.98
1743190526.835,23.7677,0,0.98
1743190526.964,23.7767,0,0.98
1743190527.092,23.7765,0,2.93
1743190527.220,23.7717,6226,108.50
1743190527.348,23.7826,6226,92.86
1743190527.476,23.7796,6226,88.95
1743190527.604,23.7681,6226,88.95
1743190527.748,23.7707,6226,94.82
1743190527.875,23.7660,6226,88.95
1743190528.004,23.7788,6226,90.91
1743190528.129,23.7693,6226,112.41
1743190528.257,23.7639,6226,94.82
1743190528.385,23.7599,6226,114.37
1743190528.514,23.7578,6226,110.46
1743190528.642,23.7524,6226,108.50
1743190528.770,23.7527,6226,102.64
1743190528.898,23.7464,6226,92.86
1743190529.041,23.7424,6226,90.91
1743190529.169,23.7483,6226,98.73
1743190529.298,23.7338,6226,100.68
1743190529.425,23.7302,6226,88.95
1743190529.553,23.7288,6226,92.86
1743190529.681,23.7307,6226,94.82
1743190529.811,23.7250,6226,92.86
1743190529.937,23.7088,6226,92.86
1743190530.065,23.7101,6226,94.82
1743190530.208,23.7029,6226,88.95
1743190530.336,23.7083,6226,108.50
1743190530.464,23.6987,6226,92.86
1743190530.592,23.6914,6226,114.37
1743190530.719,23.6889,6226,90.91
1743190530.849,23.6866,6226,102.64
1743190530.977,23.6781,6226,100.68
1743190531.103,23.6733,6226,108.50
1743190531.231,23.6768,6226,102.64
1743190531.375,23.6660,6226,110.46
1743190531.503,23.6726,6226,110.46
1743190531.631,23.6686,6226,90.91
1743190531.761,23.6596,6226,92.86
1743190531.887,23.6511,6226,87.00
1743190532.017,23.6602,6226,94.82
1743190532.145,23.6439,6226,90.91
1743190532.273,23.6382,6226,88.95
1743190532.401,23.6353,6226,102.64
1743190532.529,23.6343,6226,100.68
1743190532.674,23.6348,6226,88.95
1743190532.803,23.6315,6226,98.73
1743190532.929,23.6187,6226,94.82
1743190533.056,23.6154,6226,98.73
1743190533.183,23.6126,6226,92.86
1743190533.310,23.6186,6226,110.46
1743190533.437,23.6060,6226,88.95
1743190533.566,23.6122,6226,92.86
1743190533.690,23.6025,6226,90.91
1743190533.833,23.6007,6226,108.50
1743190533.971,23.5983,6226,88.95
1743190534.098,23.5952,6226,94.82
